source,condition,score
Solyc01g065540,stat_Pinfestans,-0.23314704
Solyc01g087990,stat_Pinfestans,-1.537193
Solyc01g095460,stat_Pinfestans,-1.1325898
Solyc01g102300,stat_Pinfestans,0.17881885
Solyc01g103050,stat_Pinfestans,-1.4599746
Solyc01g104760,stat_Pinfestans,-0.9607021
Solyc01g108080,stat_Pinfestans,0.0016325219
Solyc02g062950,stat_Pinfestans,-0.83214414
Solyc02g077840,stat_Pinfestans,3.0585313
Solyc02g084350,stat_Pinfestans,-0.8442685
Solyc02g085580,stat_Pinfestans,-0.47736484
Solyc02g090220,stat_Pinfestans,-3.2965045
Solyc03g026270,stat_Pinfestans,1.0060674
Solyc03g026280,stat_Pinfestans,0.8685041
Solyc03g093550,stat_Pinfestans,0.9421871
Solyc03g097120,stat_Pinfestans,-0.7984153
Solyc03g112930,stat_Pinfestans,-1.4222733
Solyc03g113760,stat_Pinfestans,2.9148526
Solyc03g121660,stat_Pinfestans,-0.007934008
Solyc04g005100,stat_Pinfestans,-0.5647944
Solyc04g008870,stat_Pinfestans,-1.9283094
Solyc04g009950,stat_Pinfestans,0.29895046
Solyc04g056310,stat_Pinfestans,2.6714704
Solyc04g072900,stat_Pinfestans,0.2106059
Solyc04g074170,stat_Pinfestans,2.3735383
Solyc04g077980,stat_Pinfestans,-1.2556593
Solyc04g078770,stat_Pinfestans,-1.6675135
Solyc04g078840,stat_Pinfestans,-0.49884078
Solyc04g082480,stat_Pinfestans,-1.6819705
Solyc05g006650,stat_Pinfestans,0.3782799
Solyc05g012500,stat_Pinfestans,1.9592198
Solyc05g015840,stat_Pinfestans,0.026889535
Solyc05g026180,stat_Pinfestans,1.1449951
Solyc06g048630,stat_Pinfestans,0.05655265
Solyc06g051840,stat_Pinfestans,-0.17589636
Solyc06g053350,stat_Pinfestans,-0.040031474
Solyc06g065040,stat_Pinfestans,-0.067635596
Solyc06g069460,stat_Pinfestans,-1.4729416
Solyc06g070900,stat_Pinfestans,-2.1076047
Solyc06g071230,stat_Pinfestans,-0.86024725
Solyc06g071480,stat_Pinfestans,-1.4222733
Solyc06g074170,stat_Pinfestans,-0.4585324
Solyc06g082430,stat_Pinfestans,-0.16339971
Solyc07g026680,stat_Pinfestans,-0.34808898
Solyc07g053570,stat_Pinfestans,-0.39643475
Solyc07g054220,stat_Pinfestans,0.6604697
Solyc07g063420,stat_Pinfestans,1.7968565
Solyc07g066220,stat_Pinfestans,2.4995182
Solyc08g005260,stat_Pinfestans,-1.2168696
Solyc08g006020,stat_Pinfestans,2.3062284
Solyc08g061130,stat_Pinfestans,-0.92050785
Solyc08g066510,stat_Pinfestans,2.4024282
Solyc08g077110,stat_Pinfestans,0.021913039
Solyc08g080150,stat_Pinfestans,-0.34301117
Solyc08g081610,stat_Pinfestans,2.809861
Solyc09g010820,stat_Pinfestans,2.365916
Solyc10g018780,stat_Pinfestans,0.031224396
Solyc10g047640,stat_Pinfestans,0.25423205
Solyc10g078700,stat_Pinfestans,-0.9203387
Solyc10g081350,stat_Pinfestans,-1.1268693
