TF,observed_score,null_mean,null_std,z_score,empirical_p_value,significant,condition
Solyc01g065540,-0.23314704,-0.0070271264,0.9869506,-0.22910967,0.8251748251748252,False,stat_Pinfestans
Solyc01g087990,-1.537193,-0.018595213,1.0022539,-1.5151826,0.12787212787212787,False,stat_Pinfestans
Solyc01g095460,-1.1325898,0.01708525,1.0211021,-1.1259159,0.27372627372627373,False,stat_Pinfestans
Solyc01g102300,0.17881885,0.074540175,0.9671202,0.10782391,0.919080919080919,False,stat_Pinfestans
Solyc01g103050,-1.4599746,0.009083719,1.0121536,-1.4514184,0.14585414585414586,False,stat_Pinfestans
Solyc01g104760,-0.9607021,0.02483073,1.0023446,-0.9832276,0.3226773226773227,False,stat_Pinfestans
Solyc01g108080,0.0016325219,0.06342687,0.9949905,-0.06210546,0.952047952047952,False,stat_Pinfestans
Solyc02g062950,-0.83214414,0.07781465,0.9960724,-0.9135468,0.3626373626373626,False,stat_Pinfestans
Solyc02g077840,3.0585313,0.15072668,0.9182361,3.1667287,0.002997002997002997,True,stat_Pinfestans
Solyc02g084350,-0.8442685,-0.028458588,0.98236775,-0.8304527,0.38161838161838163,False,stat_Pinfestans
Solyc02g085580,-0.47736484,0.09597407,1.0141578,-0.56533504,0.5554445554445554,False,stat_Pinfestans
Solyc02g090220,-3.2965045,-0.030352406,0.9794704,-3.3346105,0.002997002997002997,True,stat_Pinfestans
Solyc03g026270,1.0060674,0.044530854,0.9835956,0.97757304,0.3166833166833167,False,stat_Pinfestans
Solyc03g026280,0.8685041,0.06428624,1.0044177,0.80068076,0.4255744255744256,False,stat_Pinfestans
Solyc03g093550,0.9421871,0.11820001,0.9591852,0.859049,0.3936063936063936,False,stat_Pinfestans
Solyc03g097120,-0.7984153,0.003802349,0.98323655,-0.8158949,0.41358641358641357,False,stat_Pinfestans
Solyc03g112930,-1.4222733,0.0663385,0.99795896,-1.4916563,0.13886113886113885,False,stat_Pinfestans
Solyc03g113760,2.9148526,0.08766959,0.99426925,2.8434782,0.004995004995004995,True,stat_Pinfestans
Solyc03g121660,-0.007934008,0.012355351,1.0394585,-0.019519161,0.984015984015984,False,stat_Pinfestans
Solyc04g005100,-0.5647944,0.02133775,0.9820797,-0.5968275,0.5344655344655345,False,stat_Pinfestans
Solyc04g008870,-1.9283094,-0.0012954369,1.0013088,-1.9244952,0.04495504495504495,True,stat_Pinfestans
Solyc04g009950,0.29895046,0.044902414,0.9512357,0.2670716,0.8011988011988012,False,stat_Pinfestans
Solyc04g056310,2.6714704,-0.010095766,1.0271052,2.6108,0.00999000999000999,True,stat_Pinfestans
